	File accession_x	File format_x	File type_x	Output type_x	Experiment accession_x	Assay_x	Biosample term id_x	Biosample term name	Biosample type_x	Biosample organism	Library made from_x	Experiment date released_x	Project_x	Biological replicate(s)_x	Derived from_x	Size_x	Lab_x	md5sum_x	File download URL_x	Assembly_x	File Status_x	s3_uri_x	File accession_y	File format_y	File type_y	Output type_y	Experiment accession_y	Assay_y	Biosample term id_y	Biosample type_y	Experiment target_y	Library made from_y	Experiment date released_y	Project_y	Biological replicate(s)_y	Mapped read length_y	Derived from_y	Size_y	Lab_y	md5sum_y	File download URL_y	Assembly_y	File Status_y	s3_uri_y
914	ENCFF175LYA	bam	bam	alignments	ENCSR695AUY	DNase-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF016NQV	892656084	ENCODE Processing Pipeline	4479bfa2f300fe4ba748a9a87493ed7d	https://www.encodeproject.org/files/ENCFF175LYA/@@download/ENCFF175LYA.bam	hg19	released	s3://encode-public/2017/09/19/1875c931-db45-48d0-bd7b-b0ad5e531c4a/ENCFF175LYA.bam	ENCFF643HON	bam	bam	alignments	ENCSR000ASJ	ChIP-seq	CL:0001054	primary cell	H3K27ac-human	DNA	2012-08-06	ENCODE	1	36.0	ENCFF000CEN, ENCFF807MUK	903276965	ENCODE Processing Pipeline	9b752696d47cf177deb5c4cd3a729f75	https://www.encodeproject.org/files/ENCFF643HON/@@download/ENCFF643HON.bam	hg19	released	s3://encode-public/2017/04/12/19776795-b77e-4cb2-b400-762f78424d00/ENCFF643HON.bam
948	ENCFF295OEK	bam	bam	alignments	ENCSR000ELE	DNase-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens	DNA	2012-08-28	ENCODE	1	ENCFF164CKD	5042996872	ENCODE Processing Pipeline	226fe0cfd6141841d9d52e57db9011d3	https://www.encodeproject.org/files/ENCFF295OEK/@@download/ENCFF295OEK.bam	hg19	released	s3://encode-public/2017/09/27/862952de-b7f8-4ef0-bab0-450fa12abca2/ENCFF295OEK.bam	ENCFF452ZIB	bam	bam	alignments	ENCSR012PII	ChIP-seq	CL:0001054	primary cell	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF511CWO, ENCFF765EVS, ENCFF807MUK	821523625	ENCODE Processing Pipeline	228a9c7b028180334495c9031ad97014	https://www.encodeproject.org/files/ENCFF452ZIB/@@download/ENCFF452ZIB.bam	hg19	released	s3://encode-public/2016/12/19/dffd0565-eb3c-4c01-a432-836d2ff4577a/ENCFF452ZIB.bam
952	ENCFF295OEK	bam	bam	alignments	ENCSR000ELE	DNase-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens	DNA	2012-08-28	ENCODE	1	ENCFF164CKD	5042996872	ENCODE Processing Pipeline	226fe0cfd6141841d9d52e57db9011d3	https://www.encodeproject.org/files/ENCFF295OEK/@@download/ENCFF295OEK.bam	hg19	released	s3://encode-public/2017/09/27/862952de-b7f8-4ef0-bab0-450fa12abca2/ENCFF295OEK.bam	ENCFF615XCI	bam	bam	alignments	ENCSR000ASJ	ChIP-seq	CL:0001054	primary cell	H3K27ac-human	DNA	2012-08-06	ENCODE	2	36.0	ENCFF000CEO, ENCFF807MUK	825167107	ENCODE Processing Pipeline	5115a07dfe962cc3cae08cf7b262f058	https://www.encodeproject.org/files/ENCFF615XCI/@@download/ENCFF615XCI.bam	hg19	released	s3://encode-public/2017/04/12/30cc2428-55b3-4c8d-bbef-9fba0e3774b8/ENCFF615XCI.bam
954	ENCFF295OEK	bam	bam	alignments	ENCSR000ELE	DNase-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens	DNA	2012-08-28	ENCODE	1	ENCFF164CKD	5042996872	ENCODE Processing Pipeline	226fe0cfd6141841d9d52e57db9011d3	https://www.encodeproject.org/files/ENCFF295OEK/@@download/ENCFF295OEK.bam	hg19	released	s3://encode-public/2017/09/27/862952de-b7f8-4ef0-bab0-450fa12abca2/ENCFF295OEK.bam	ENCFF643HON	bam	bam	alignments	ENCSR000ASJ	ChIP-seq	CL:0001054	primary cell	H3K27ac-human	DNA	2012-08-06	ENCODE	1	36.0	ENCFF000CEN, ENCFF807MUK	903276965	ENCODE Processing Pipeline	9b752696d47cf177deb5c4cd3a729f75	https://www.encodeproject.org/files/ENCFF643HON/@@download/ENCFF643HON.bam	hg19	released	s3://encode-public/2017/04/12/19776795-b77e-4cb2-b400-762f78424d00/ENCFF643HON.bam
956	ENCFF780FKA	bam	bam	alignments	ENCSR000ELE	DNase-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens	DNA	2012-08-28	ENCODE	2	ENCFF613JUT	4206855177	ENCODE Processing Pipeline	1d817aad1e723e549467fe1a8e1de04d	https://www.encodeproject.org/files/ENCFF780FKA/@@download/ENCFF780FKA.bam	hg19	released	s3://encode-public/2017/09/27/7bf7259f-0432-43b7-9e3b-6d919718612a/ENCFF780FKA.bam	ENCFF452ZIB	bam	bam	alignments	ENCSR012PII	ChIP-seq	CL:0001054	primary cell	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF511CWO, ENCFF765EVS, ENCFF807MUK	821523625	ENCODE Processing Pipeline	228a9c7b028180334495c9031ad97014	https://www.encodeproject.org/files/ENCFF452ZIB/@@download/ENCFF452ZIB.bam	hg19	released	s3://encode-public/2016/12/19/dffd0565-eb3c-4c01-a432-836d2ff4577a/ENCFF452ZIB.bam
960	ENCFF780FKA	bam	bam	alignments	ENCSR000ELE	DNase-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens	DNA	2012-08-28	ENCODE	2	ENCFF613JUT	4206855177	ENCODE Processing Pipeline	1d817aad1e723e549467fe1a8e1de04d	https://www.encodeproject.org/files/ENCFF780FKA/@@download/ENCFF780FKA.bam	hg19	released	s3://encode-public/2017/09/27/7bf7259f-0432-43b7-9e3b-6d919718612a/ENCFF780FKA.bam	ENCFF615XCI	bam	bam	alignments	ENCSR000ASJ	ChIP-seq	CL:0001054	primary cell	H3K27ac-human	DNA	2012-08-06	ENCODE	2	36.0	ENCFF000CEO, ENCFF807MUK	825167107	ENCODE Processing Pipeline	5115a07dfe962cc3cae08cf7b262f058	https://www.encodeproject.org/files/ENCFF615XCI/@@download/ENCFF615XCI.bam	hg19	released	s3://encode-public/2017/04/12/30cc2428-55b3-4c8d-bbef-9fba0e3774b8/ENCFF615XCI.bam
962	ENCFF780FKA	bam	bam	alignments	ENCSR000ELE	DNase-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens	DNA	2012-08-28	ENCODE	2	ENCFF613JUT	4206855177	ENCODE Processing Pipeline	1d817aad1e723e549467fe1a8e1de04d	https://www.encodeproject.org/files/ENCFF780FKA/@@download/ENCFF780FKA.bam	hg19	released	s3://encode-public/2017/09/27/7bf7259f-0432-43b7-9e3b-6d919718612a/ENCFF780FKA.bam	ENCFF643HON	bam	bam	alignments	ENCSR000ASJ	ChIP-seq	CL:0001054	primary cell	H3K27ac-human	DNA	2012-08-06	ENCODE	1	36.0	ENCFF000CEN, ENCFF807MUK	903276965	ENCODE Processing Pipeline	9b752696d47cf177deb5c4cd3a729f75	https://www.encodeproject.org/files/ENCFF643HON/@@download/ENCFF643HON.bam	hg19	released	s3://encode-public/2017/04/12/19776795-b77e-4cb2-b400-762f78424d00/ENCFF643HON.bam
980	ENCFF074KIH	bam	bam	alignments	ENCSR452DCM	DNase-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF079HLL, ENCFF303BRT	18956562762	ENCODE Processing Pipeline	b284abb15e79c33e93309ba21d474fdf	https://www.encodeproject.org/files/ENCFF074KIH/@@download/ENCFF074KIH.bam	hg19	released	s3://encode-public/2017/12/03/77b27811-e52b-41fc-b78c-b61c424718bf/ENCFF074KIH.bam	ENCFF452ZIB	bam	bam	alignments	ENCSR012PII	ChIP-seq	CL:0001054	primary cell	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF511CWO, ENCFF765EVS, ENCFF807MUK	821523625	ENCODE Processing Pipeline	228a9c7b028180334495c9031ad97014	https://www.encodeproject.org/files/ENCFF452ZIB/@@download/ENCFF452ZIB.bam	hg19	released	s3://encode-public/2016/12/19/dffd0565-eb3c-4c01-a432-836d2ff4577a/ENCFF452ZIB.bam
984	ENCFF074KIH	bam	bam	alignments	ENCSR452DCM	DNase-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF079HLL, ENCFF303BRT	18956562762	ENCODE Processing Pipeline	b284abb15e79c33e93309ba21d474fdf	https://www.encodeproject.org/files/ENCFF074KIH/@@download/ENCFF074KIH.bam	hg19	released	s3://encode-public/2017/12/03/77b27811-e52b-41fc-b78c-b61c424718bf/ENCFF074KIH.bam	ENCFF615XCI	bam	bam	alignments	ENCSR000ASJ	ChIP-seq	CL:0001054	primary cell	H3K27ac-human	DNA	2012-08-06	ENCODE	2	36.0	ENCFF000CEO, ENCFF807MUK	825167107	ENCODE Processing Pipeline	5115a07dfe962cc3cae08cf7b262f058	https://www.encodeproject.org/files/ENCFF615XCI/@@download/ENCFF615XCI.bam	hg19	released	s3://encode-public/2017/04/12/30cc2428-55b3-4c8d-bbef-9fba0e3774b8/ENCFF615XCI.bam
986	ENCFF074KIH	bam	bam	alignments	ENCSR452DCM	DNase-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF079HLL, ENCFF303BRT	18956562762	ENCODE Processing Pipeline	b284abb15e79c33e93309ba21d474fdf	https://www.encodeproject.org/files/ENCFF074KIH/@@download/ENCFF074KIH.bam	hg19	released	s3://encode-public/2017/12/03/77b27811-e52b-41fc-b78c-b61c424718bf/ENCFF074KIH.bam	ENCFF643HON	bam	bam	alignments	ENCSR000ASJ	ChIP-seq	CL:0001054	primary cell	H3K27ac-human	DNA	2012-08-06	ENCODE	1	36.0	ENCFF000CEN, ENCFF807MUK	903276965	ENCODE Processing Pipeline	9b752696d47cf177deb5c4cd3a729f75	https://www.encodeproject.org/files/ENCFF643HON/@@download/ENCFF643HON.bam	hg19	released	s3://encode-public/2017/04/12/19776795-b77e-4cb2-b400-762f78424d00/ENCFF643HON.bam
1004	ENCFF227VKS	bam	bam	alignments	ENCSR000EPK	DNase-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens	DNA	2011-10-19	ENCODE	2	ENCFF757YRW	3024288178	ENCODE Processing Pipeline	7c1bca90ee832eb026e195004229ed87	https://www.encodeproject.org/files/ENCFF227VKS/@@download/ENCFF227VKS.bam	hg19	released	s3://encode-public/2017/09/27/9da374d5-cc02-4f75-9957-41c5c1abd29d/ENCFF227VKS.bam	ENCFF452ZIB	bam	bam	alignments	ENCSR012PII	ChIP-seq	CL:0001054	primary cell	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF511CWO, ENCFF765EVS, ENCFF807MUK	821523625	ENCODE Processing Pipeline	228a9c7b028180334495c9031ad97014	https://www.encodeproject.org/files/ENCFF452ZIB/@@download/ENCFF452ZIB.bam	hg19	released	s3://encode-public/2016/12/19/dffd0565-eb3c-4c01-a432-836d2ff4577a/ENCFF452ZIB.bam
1008	ENCFF227VKS	bam	bam	alignments	ENCSR000EPK	DNase-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens	DNA	2011-10-19	ENCODE	2	ENCFF757YRW	3024288178	ENCODE Processing Pipeline	7c1bca90ee832eb026e195004229ed87	https://www.encodeproject.org/files/ENCFF227VKS/@@download/ENCFF227VKS.bam	hg19	released	s3://encode-public/2017/09/27/9da374d5-cc02-4f75-9957-41c5c1abd29d/ENCFF227VKS.bam	ENCFF615XCI	bam	bam	alignments	ENCSR000ASJ	ChIP-seq	CL:0001054	primary cell	H3K27ac-human	DNA	2012-08-06	ENCODE	2	36.0	ENCFF000CEO, ENCFF807MUK	825167107	ENCODE Processing Pipeline	5115a07dfe962cc3cae08cf7b262f058	https://www.encodeproject.org/files/ENCFF615XCI/@@download/ENCFF615XCI.bam	hg19	released	s3://encode-public/2017/04/12/30cc2428-55b3-4c8d-bbef-9fba0e3774b8/ENCFF615XCI.bam
1010	ENCFF227VKS	bam	bam	alignments	ENCSR000EPK	DNase-seq	CL:0001054	CD14-positive monocyte	primary cell	Homo sapiens	DNA	2011-10-19	ENCODE	2	ENCFF757YRW	3024288178	ENCODE Processing Pipeline	7c1bca90ee832eb026e195004229ed87	https://www.encodeproject.org/files/ENCFF227VKS/@@download/ENCFF227VKS.bam	hg19	released	s3://encode-public/2017/09/27/9da374d5-cc02-4f75-9957-41c5c1abd29d/ENCFF227VKS.bam	ENCFF643HON	bam	bam	alignments	ENCSR000ASJ	ChIP-seq	CL:0001054	primary cell	H3K27ac-human	DNA	2012-08-06	ENCODE	1	36.0	ENCFF000CEN, ENCFF807MUK	903276965	ENCODE Processing Pipeline	9b752696d47cf177deb5c4cd3a729f75	https://www.encodeproject.org/files/ENCFF643HON/@@download/ENCFF643HON.bam	hg19	released	s3://encode-public/2017/04/12/19776795-b77e-4cb2-b400-762f78424d00/ENCFF643HON.bam
1030	ENCFF023XQK	bam	bam	alignments	ENCSR735BIM	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF744VLK	1018488490	ENCODE Processing Pipeline	eb33bbf948015ae956e5795139df7ad7	https://www.encodeproject.org/files/ENCFF023XQK/@@download/ENCFF023XQK.bam	hg19	released	s3://encode-public/2017/09/19/9886d83a-93fe-4b8e-889e-45be826edfd8/ENCFF023XQK.bam	ENCFF374OLB	bam	bam	alignments	ENCSR620AZM	ChIP-seq	CL:0001059	primary cell	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF141DLE, ENCFF807MUK, ENCFF882ANN, ENCFF913EAO	559681158	ENCODE Processing Pipeline	242f5191cb1eec91ba9f6ca43ba196be	https://www.encodeproject.org/files/ENCFF374OLB/@@download/ENCFF374OLB.bam	hg19	released	s3://encode-public/2016/12/19/aefc047c-020e-44d2-9e93-b70348aadc9c/ENCFF374OLB.bam
1032	ENCFF023XQK	bam	bam	alignments	ENCSR735BIM	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF744VLK	1018488490	ENCODE Processing Pipeline	eb33bbf948015ae956e5795139df7ad7	https://www.encodeproject.org/files/ENCFF023XQK/@@download/ENCFF023XQK.bam	hg19	released	s3://encode-public/2017/09/19/9886d83a-93fe-4b8e-889e-45be826edfd8/ENCFF023XQK.bam	ENCFF335LRI	bam	bam	alignments	ENCSR891KSP	ChIP-seq	CL:0001059	primary cell	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF641LUF, ENCFF668OEU, ENCFF807MUK, ENCFF904CSC	414936919	ENCODE Processing Pipeline	193fe0177fd1be206e79d140863f9a36	https://www.encodeproject.org/files/ENCFF335LRI/@@download/ENCFF335LRI.bam	hg19	released	s3://encode-public/2016/12/19/01e50ede-d9fd-47e8-977e-4ca72a131896/ENCFF335LRI.bam
1034	ENCFF023XQK	bam	bam	alignments	ENCSR735BIM	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF744VLK	1018488490	ENCODE Processing Pipeline	eb33bbf948015ae956e5795139df7ad7	https://www.encodeproject.org/files/ENCFF023XQK/@@download/ENCFF023XQK.bam	hg19	released	s3://encode-public/2017/09/19/9886d83a-93fe-4b8e-889e-45be826edfd8/ENCFF023XQK.bam	ENCFF982BOE	bam	bam	alignments	ENCSR891KSP	ChIP-seq	CL:0001059	primary cell	H3K27ac-human	DNA	2013-07-31	Roadmap	2	36.0	ENCFF730JFU, ENCFF790KKL, ENCFF807MUK, ENCFF931MHO	274959563	ENCODE Processing Pipeline	f6371f2e181315308da122f39a664c61	https://www.encodeproject.org/files/ENCFF982BOE/@@download/ENCFF982BOE.bam	hg19	released	s3://encode-public/2016/12/19/aad6f544-f810-4c79-bdf2-3c71088084ca/ENCFF982BOE.bam
1054	ENCFF160LMY	bam	bam	alignments	ENCSR495INQ	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF665MCI	1798997809	ENCODE Processing Pipeline	8945ac689c5a68cc51edc0daa4d42e54	https://www.encodeproject.org/files/ENCFF160LMY/@@download/ENCFF160LMY.bam	hg19	released	s3://encode-public/2017/09/19/6eb45b8f-bfa6-4ea7-9b2c-537565b5b37c/ENCFF160LMY.bam	ENCFF374OLB	bam	bam	alignments	ENCSR620AZM	ChIP-seq	CL:0001059	primary cell	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF141DLE, ENCFF807MUK, ENCFF882ANN, ENCFF913EAO	559681158	ENCODE Processing Pipeline	242f5191cb1eec91ba9f6ca43ba196be	https://www.encodeproject.org/files/ENCFF374OLB/@@download/ENCFF374OLB.bam	hg19	released	s3://encode-public/2016/12/19/aefc047c-020e-44d2-9e93-b70348aadc9c/ENCFF374OLB.bam
1056	ENCFF160LMY	bam	bam	alignments	ENCSR495INQ	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF665MCI	1798997809	ENCODE Processing Pipeline	8945ac689c5a68cc51edc0daa4d42e54	https://www.encodeproject.org/files/ENCFF160LMY/@@download/ENCFF160LMY.bam	hg19	released	s3://encode-public/2017/09/19/6eb45b8f-bfa6-4ea7-9b2c-537565b5b37c/ENCFF160LMY.bam	ENCFF335LRI	bam	bam	alignments	ENCSR891KSP	ChIP-seq	CL:0001059	primary cell	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF641LUF, ENCFF668OEU, ENCFF807MUK, ENCFF904CSC	414936919	ENCODE Processing Pipeline	193fe0177fd1be206e79d140863f9a36	https://www.encodeproject.org/files/ENCFF335LRI/@@download/ENCFF335LRI.bam	hg19	released	s3://encode-public/2016/12/19/01e50ede-d9fd-47e8-977e-4ca72a131896/ENCFF335LRI.bam
1058	ENCFF160LMY	bam	bam	alignments	ENCSR495INQ	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF665MCI	1798997809	ENCODE Processing Pipeline	8945ac689c5a68cc51edc0daa4d42e54	https://www.encodeproject.org/files/ENCFF160LMY/@@download/ENCFF160LMY.bam	hg19	released	s3://encode-public/2017/09/19/6eb45b8f-bfa6-4ea7-9b2c-537565b5b37c/ENCFF160LMY.bam	ENCFF982BOE	bam	bam	alignments	ENCSR891KSP	ChIP-seq	CL:0001059	primary cell	H3K27ac-human	DNA	2013-07-31	Roadmap	2	36.0	ENCFF730JFU, ENCFF790KKL, ENCFF807MUK, ENCFF931MHO	274959563	ENCODE Processing Pipeline	f6371f2e181315308da122f39a664c61	https://www.encodeproject.org/files/ENCFF982BOE/@@download/ENCFF982BOE.bam	hg19	released	s3://encode-public/2016/12/19/aad6f544-f810-4c79-bdf2-3c71088084ca/ENCFF982BOE.bam
1078	ENCFF330KKF	bam	bam	alignments	ENCSR639ZJI	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF938QGA	1125280733	ENCODE Processing Pipeline	638ab132e3a64ebf8186af32af034d1b	https://www.encodeproject.org/files/ENCFF330KKF/@@download/ENCFF330KKF.bam	hg19	released	s3://encode-public/2017/09/19/9e24a19f-3dc1-46cc-907c-93b0fff37b6b/ENCFF330KKF.bam	ENCFF374OLB	bam	bam	alignments	ENCSR620AZM	ChIP-seq	CL:0001059	primary cell	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF141DLE, ENCFF807MUK, ENCFF882ANN, ENCFF913EAO	559681158	ENCODE Processing Pipeline	242f5191cb1eec91ba9f6ca43ba196be	https://www.encodeproject.org/files/ENCFF374OLB/@@download/ENCFF374OLB.bam	hg19	released	s3://encode-public/2016/12/19/aefc047c-020e-44d2-9e93-b70348aadc9c/ENCFF374OLB.bam
1080	ENCFF330KKF	bam	bam	alignments	ENCSR639ZJI	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF938QGA	1125280733	ENCODE Processing Pipeline	638ab132e3a64ebf8186af32af034d1b	https://www.encodeproject.org/files/ENCFF330KKF/@@download/ENCFF330KKF.bam	hg19	released	s3://encode-public/2017/09/19/9e24a19f-3dc1-46cc-907c-93b0fff37b6b/ENCFF330KKF.bam	ENCFF335LRI	bam	bam	alignments	ENCSR891KSP	ChIP-seq	CL:0001059	primary cell	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF641LUF, ENCFF668OEU, ENCFF807MUK, ENCFF904CSC	414936919	ENCODE Processing Pipeline	193fe0177fd1be206e79d140863f9a36	https://www.encodeproject.org/files/ENCFF335LRI/@@download/ENCFF335LRI.bam	hg19	released	s3://encode-public/2016/12/19/01e50ede-d9fd-47e8-977e-4ca72a131896/ENCFF335LRI.bam
1082	ENCFF330KKF	bam	bam	alignments	ENCSR639ZJI	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF938QGA	1125280733	ENCODE Processing Pipeline	638ab132e3a64ebf8186af32af034d1b	https://www.encodeproject.org/files/ENCFF330KKF/@@download/ENCFF330KKF.bam	hg19	released	s3://encode-public/2017/09/19/9e24a19f-3dc1-46cc-907c-93b0fff37b6b/ENCFF330KKF.bam	ENCFF982BOE	bam	bam	alignments	ENCSR891KSP	ChIP-seq	CL:0001059	primary cell	H3K27ac-human	DNA	2013-07-31	Roadmap	2	36.0	ENCFF730JFU, ENCFF790KKL, ENCFF807MUK, ENCFF931MHO	274959563	ENCODE Processing Pipeline	f6371f2e181315308da122f39a664c61	https://www.encodeproject.org/files/ENCFF982BOE/@@download/ENCFF982BOE.bam	hg19	released	s3://encode-public/2016/12/19/aad6f544-f810-4c79-bdf2-3c71088084ca/ENCFF982BOE.bam
1102	ENCFF333YDM	bam	bam	alignments	ENCSR320TUJ	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF219NWH	1682793477	ENCODE Processing Pipeline	21e11a073b57f063aeb326fd3ba5a52c	https://www.encodeproject.org/files/ENCFF333YDM/@@download/ENCFF333YDM.bam	hg19	released	s3://encode-public/2017/09/19/e5a4d6fc-3f1d-4be9-bd8e-3ac88f530e20/ENCFF333YDM.bam	ENCFF374OLB	bam	bam	alignments	ENCSR620AZM	ChIP-seq	CL:0001059	primary cell	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF141DLE, ENCFF807MUK, ENCFF882ANN, ENCFF913EAO	559681158	ENCODE Processing Pipeline	242f5191cb1eec91ba9f6ca43ba196be	https://www.encodeproject.org/files/ENCFF374OLB/@@download/ENCFF374OLB.bam	hg19	released	s3://encode-public/2016/12/19/aefc047c-020e-44d2-9e93-b70348aadc9c/ENCFF374OLB.bam
1104	ENCFF333YDM	bam	bam	alignments	ENCSR320TUJ	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF219NWH	1682793477	ENCODE Processing Pipeline	21e11a073b57f063aeb326fd3ba5a52c	https://www.encodeproject.org/files/ENCFF333YDM/@@download/ENCFF333YDM.bam	hg19	released	s3://encode-public/2017/09/19/e5a4d6fc-3f1d-4be9-bd8e-3ac88f530e20/ENCFF333YDM.bam	ENCFF335LRI	bam	bam	alignments	ENCSR891KSP	ChIP-seq	CL:0001059	primary cell	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF641LUF, ENCFF668OEU, ENCFF807MUK, ENCFF904CSC	414936919	ENCODE Processing Pipeline	193fe0177fd1be206e79d140863f9a36	https://www.encodeproject.org/files/ENCFF335LRI/@@download/ENCFF335LRI.bam	hg19	released	s3://encode-public/2016/12/19/01e50ede-d9fd-47e8-977e-4ca72a131896/ENCFF335LRI.bam
1106	ENCFF333YDM	bam	bam	alignments	ENCSR320TUJ	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF219NWH	1682793477	ENCODE Processing Pipeline	21e11a073b57f063aeb326fd3ba5a52c	https://www.encodeproject.org/files/ENCFF333YDM/@@download/ENCFF333YDM.bam	hg19	released	s3://encode-public/2017/09/19/e5a4d6fc-3f1d-4be9-bd8e-3ac88f530e20/ENCFF333YDM.bam	ENCFF982BOE	bam	bam	alignments	ENCSR891KSP	ChIP-seq	CL:0001059	primary cell	H3K27ac-human	DNA	2013-07-31	Roadmap	2	36.0	ENCFF730JFU, ENCFF790KKL, ENCFF807MUK, ENCFF931MHO	274959563	ENCODE Processing Pipeline	f6371f2e181315308da122f39a664c61	https://www.encodeproject.org/files/ENCFF982BOE/@@download/ENCFF982BOE.bam	hg19	released	s3://encode-public/2016/12/19/aad6f544-f810-4c79-bdf2-3c71088084ca/ENCFF982BOE.bam
1126	ENCFF426VNY	bam	bam	alignments	ENCSR772HUG	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF537LHD	857919715	ENCODE Processing Pipeline	2fe4e15054fb1013e207538a1be65373	https://www.encodeproject.org/files/ENCFF426VNY/@@download/ENCFF426VNY.bam	hg19	released	s3://encode-public/2017/09/19/84f2bcb5-ae46-4f5a-a9de-a048cf23dbc9/ENCFF426VNY.bam	ENCFF374OLB	bam	bam	alignments	ENCSR620AZM	ChIP-seq	CL:0001059	primary cell	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF141DLE, ENCFF807MUK, ENCFF882ANN, ENCFF913EAO	559681158	ENCODE Processing Pipeline	242f5191cb1eec91ba9f6ca43ba196be	https://www.encodeproject.org/files/ENCFF374OLB/@@download/ENCFF374OLB.bam	hg19	released	s3://encode-public/2016/12/19/aefc047c-020e-44d2-9e93-b70348aadc9c/ENCFF374OLB.bam
1128	ENCFF426VNY	bam	bam	alignments	ENCSR772HUG	DNase-seq	CL:0001059	common myeloid progenitor, CD34-positive	primary cell	Homo sapiens	DNA	2013-07-31	Roadmap	1	ENCFF537LHD	857919715	ENCODE Processing Pipeline	2fe4e15054fb1013e207538a1be65373	https://www.encodeproject.org/files/ENCFF426VNY/@@download/ENCFF426VNY.bam	hg19	released	s3://encode-public/2017/09/19/84f2bcb5-ae46-4f5a-a9de-a048cf23dbc9/ENCFF426VNY.bam	ENCFF335LRI	bam	bam	alignments	ENCSR891KSP	ChIP-seq	CL:0001059	primary cell	H3K27ac-human	DNA	2013-07-31	Roadmap	1	36.0	ENCFF641LUF, ENCFF668OEU, ENCFF807MUK, ENCFF904CSC	414936919	ENCODE Processing Pipeline	193fe0177fd1be206e79d140863f9a36	https://www.encodeproject.org/files/ENCFF335LRI/@@download/ENCFF335LRI.bam	hg19	released	s3://encode-public/2016/12/19/01e50ede-d9fd-47e8-977e-4ca72a131896/ENCFF335LRI.bam
